captured_at,capture_season,capture_week,source,year,throughSeasonType,throughWeek,team,conference,overall,offense,defense,offensePlays,defensePlays,modelVersion
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Wyoming,Mountain West,-4.18,-3.06,1.12,52,67,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Louisiana Tech,Sun Belt,-4.22,-6.97,-2.76,36,69,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Temple,American Athletic,-4.24,-2.2,2.04,44,63,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Oklahoma State,Big 12,-4.24,-3.74,0.5,169,116,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Minnesota,Big Ten,-4.25,-1.18,3.07,58,53,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,South Alabama,Sun Belt,-4.48,1.9,6.38,72,51,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,UAB,American Athletic,-4.54,-0.91,3.63,134,105,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,California,ACC,-4.6,-2.85,1.74,145,136,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Louisiana,Sun Belt,-4.69,-0.61,4.08,41,72,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Sam Houston,Conference USA,-4.94,-3.6,1.34,134,138,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,UNLV,Mountain West,-4.95,-2.32,2.62,198,181,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Southern Miss,Sun Belt,-4.97,-3.24,1.73,41,67,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Miami (OH),Mid-American,-5,-1.51,3.49,38,52,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Central Michigan,Mid-American,-5.18,-3.84,1.34,25,58,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,App State,Sun Belt,-5.19,-1.43,3.76,71,72,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Buffalo,Mid-American,-5.38,-4.55,0.84,69,78,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Georgia Southern,Sun Belt,-5.56,-4.18,1.38,66,73,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Florida Atlantic,American Athletic,-5.92,-0.35,5.57,125,86,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Massachusetts,Mid-American,-6.3,-2.94,3.36,63,49,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Kennesaw State,Conference USA,-6.52,-1.43,5.09,55,68,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Marshall,Sun Belt,-7.12,-2.53,4.59,96,107,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,UTEP,Mountain West,-7.36,-4.85,2.51,34,33,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Delaware,Conference USA,-7.65,-5.23,2.41,67,69,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Arkansas State,Sun Belt,-7.65,-1.46,6.19,58,62,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Ohio,Mid-American,-7.71,-0.7,7.01,121,135,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Jacksonville State,Conference USA,-8.08,-4.3,3.78,103,113,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Hawai'i,Mountain West,-8.18,-5.38,2.8,223,200,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,New Mexico State,Conference USA,-8.3,-3.91,4.39,131,139,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Eastern Michigan,Mid-American,-8.67,-5.71,2.96,184,200,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Sacramento State,Mid-American,-9.07,-6.42,2.65,93,109,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Charlotte,American Athletic,-9.43,-5.07,4.37,45,44,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Bowling Green,Mid-American,-9.9,-5.07,4.83,22,39,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Missouri State,Conference USA,-9.91,-5.18,4.72,24,66,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Northern Illinois,Mountain West,-10.29,-6.33,3.96,21,50,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Akron,Mid-American,-10.42,-5.81,4.61,49,56,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Rice,American Athletic,-11,-7.07,3.93,25,29,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Kent State,Mid-American,-12,-4.85,7.15,32,35,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Western Kentucky,Conference USA,-12.16,-4.37,7.79,95,68,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,Ball State,Mid-American,-12.2,-6.43,5.78,34,44,core-preseason-v1
2026-09-15T12:02:16+00:00,2026,4,core,2026,regular,2,UL Monroe,Sun Belt,-12.62,-5.83,6.79,93,117,core-preseason-v1
