captured_at,capture_season,capture_week,source,season,conference,team,offense_overall,offense_passing,offense_rushing,offense_firstDown,offense_secondDown,offense_thirdDown,offense_cumulative,defense_overall,defense_passing,defense_rushing,defense_firstDown,defense_secondDown,defense_thirdDown,defense_cumulative
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Pac-12,Colorado State,0.33,0.41,0.29,-0.12,0.47,0.87,"{'total': 54, 'passing': 36.08, 'rushing': 20.6}",0.12,0.29,0.22,0.05,0.45,-0.08,"{'total': 17.1, 'passing': 143.3, 'rushing': 18.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Delaware,0.14,0.32,0.03,0.02,0.31,0.3,"{'total': 25.4, 'passing': 31.8, 'rushing': 2.4}",0,0.2,-0.05,-0.28,0.29,0.43,"{'total': -0.4, 'passing': 168.6, 'rushing': -4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,Duke,0.21,0.29,0.19,0.07,0.37,0.48,"{'total': 42.7, 'passing': 20.82, 'rushing': 24}",-0.03,0.03,-0.14,0.1,-0.06,0.07,"{'total': -4.8, 'passing': 32.9, 'rushing': -10.3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,American Athletic,East Carolina,-0.01,0.04,-0.05,-0.01,0.09,0,"{'total': -2, 'passing': 2.63, 'rushing': -4.6}",0.09,0.14,0.08,-0.22,0.25,0.57,"{'total': 18.1, 'passing': 109.5, 'rushing': 9.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Eastern Michigan,-0.06,0.01,-0.02,-0.03,-0.22,0.2,"{'total': -14, 'passing': 0.7, 'rushing': -1.8}",0.14,0.22,0.11,0.07,-0.04,0.69,"{'total': 35.2, 'passing': 313, 'rushing': 11.7}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Florida,0.45,0.62,0.36,0.13,0.51,0.65,"{'total': 67.2, 'passing': 36.16, 'rushing': 32}",-0.04,0.04,0.14,-0.13,-0.03,0.56,"{'total': -6.4, 'passing': 42.3, 'rushing': 7.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,American Athletic,Florida Atlantic,0.11,0.19,0.02,-0.1,0.25,0.63,"{'total': 20.9, 'passing': 20.4, 'rushing': 1.6}",0.15,0.08,0.26,0.03,0.11,0.44,"{'total': 24.5, 'passing': 60.2, 'rushing': 21.3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Conference USA,Florida International,-0.01,0.14,-0.17,-0.1,0.03,0.43,"{'total': -2.7, 'passing': 18.53, 'rushing': -16.6}",-0.01,0.1,-0.11,-0.06,-0.06,0.28,"{'total': -1.7, 'passing': 105.6, 'rushing': -10.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,ACC,Florida State,0.19,0.28,0.19,-0.05,0.08,0.77,"{'total': 38.8, 'passing': 23.75, 'rushing': 20.6}",0.31,0.47,0.17,0.27,-0.26,1.24,"{'total': 62, 'passing': 521.3, 'rushing': 14.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Pac-12,Fresno State,0.03,0.52,-0.2,-0.04,0.2,0.08,"{'total': 4.8, 'passing': 31.4, 'rushing': -14.1}",-0.06,0.21,-0.3,-0.24,0.19,0.33,"{'total': -7.8, 'passing': 159.4, 'rushing': -17.5}"
